ts,true_distance,depth_m,confidence,lighting
1789314133.56005,2.0,2.005859375,2,nacht
1789314133.566691,2.0,2.0078125,2,nacht
1789314133.583384,2.0,2.005859375,2,nacht
1789314133.600069,2.0,2.0078125,2,nacht
1789314133.616713,2.0,2.01171875,2,nacht
1789314133.6335258,2.0,2.01171875,2,nacht
1789314133.650117,2.0,2.009765625,2,nacht
1789314133.666809,2.0,2.01171875,2,nacht
1789314133.683368,2.0,2.01171875,2,nacht
1789314133.700005,2.0,2.01171875,2,nacht
1789314133.716744,2.0,2.01171875,2,nacht
1789314133.733547,2.0,2.01171875,2,nacht
1789314133.750138,2.0,2.013671875,2,nacht
1789314133.766746,2.0,2.01171875,2,nacht
1789314133.783479,2.0,2.01171875,2,nacht
1789314133.800019,2.0,2.01171875,2,nacht
1789314133.8167,2.0,2.013671875,2,nacht
1789314133.833365,2.0,2.013671875,2,nacht
1789314133.8502069,2.0,2.013671875,2,nacht
1789314133.866703,2.0,2.013671875,2,nacht
1789314133.883531,2.0,2.017578125,2,nacht
1789314133.900189,2.0,2.015625,2,nacht
1789314133.9168801,2.0,2.01171875,2,nacht
1789314133.93355,2.0,2.01171875,2,nacht
1789314133.950101,2.0,2.013671875,2,nacht
1789314133.9668422,2.0,2.015625,2,nacht
1789314133.9834619,2.0,2.015625,2,nacht
1789314134.000049,2.0,2.015625,2,nacht
1789314134.016881,2.0,2.015625,2,nacht
1789314134.033526,2.0,2.015625,2,nacht
