ts,cm_activity,cm_confidence
1789737186.5016613,unknown,2
1789737227.1490066,automotive,2
1789737248.7429206,automotive,0
1789737249.060476,automotive,2
1789737254.7764754,automotive,0
1789737255.0940318,automotive,2
1789737266.5260668,automotive,0
1789737267.7962947,automotive,2
1789737273.1947565,automotive,2
1789737277.9580944,automotive,2
1789737279.863428,automotive,2
1789737283.0389838,automotive,2
1789737285.579427,automotive,2
1789737301.1420434,automotive,2
1789737303.3649082,automotive,2
1789737305.9053204,automotive,2
1789737308.4457316,automotive,2
1789737310.9861393,automotive,2
1789737326.22861,automotive,0
1789737326.5461621,automotive,2
1789737327.4988186,automotive,0
1789737329.4041314,automotive,2
1789737331.6270022,automotive,0
1789737331.9445553,automotive,2
1789737336.7078607,automotive,0
1789737337.342969,automotive,2
1789737382.4352856,automotive,0
1789737383.3904152,automotive,2
1789737384.6606154,automotive,0
1789737385.613267,automotive,2
1789737425.6246471,automotive,2
1789737432.6108153,automotive,0
1789737432.9283714,automotive,2
1789737434.51615,automotive,2
1789737435.4688225,automotive,2
1789737443.0901947,unknown,2
1789737455.792482,cycling,2
1789737463.096249,stationary,0
1789737463.413803,unknown,2
1789737476.4334192,unknown,2
1789737478.6562624,unknown,2
1789737483.1019216,unknown,2
