true_distance,los,n,bias_m,mae_m,std_m,verfahren
0.5,False,60,0.19230539600054422,0.19230539600054422,0.026790810114819413,uwb
1.0,False,60,1.0236091196537018,1.0236091196537018,0.24795594034599888,uwb
2.0,False,60,0.3793932358423869,0.3793932358423869,0.03500933220327248,uwb
3.0,False,60,0.32057007153828937,0.32057007153828937,0.025941187920692596,uwb
5.0,False,60,0.20679836273193358,0.20679836273193358,0.02610149407936104,uwb
7.0,False,60,0.34060993989308674,0.34060993989308674,0.023997317597632066,uwb
8.0,False,60,1.0836315631866456,1.0836315631866456,0.2019460582684892,uwb
0.5,True,120,0.1844436675310135,0.1844436675310135,0.0745174271368907,uwb
1.0,True,60,1.4944631199042002,1.4944631199042002,0.6014110198950838,uwb
2.0,True,60,0.38824456135431923,0.38824456135431923,0.034233971119012725,uwb
3.0,True,60,0.25234456062316896,0.25234456062316896,0.055048242235021916,uwb
5.0,True,60,0.21850969791412353,0.21850969791412353,0.028181071972406293,uwb
7.0,True,60,0.32318050861358644,0.32318050861358644,0.05308953563761784,uwb
8.0,True,60,1.2005605856577555,1.2005605856577555,0.44490370402645074,uwb
0.5,False,10,1.1054976160624048,1.1054976160624048,0.07879969718916321,ble
1.0,False,10,0.14940859876877305,0.14940859876877305,0.05738833960491196,ble
2.0,False,9,0.8419214101041038,0.8419214101041038,0.43677205669155095,ble
3.0,False,9,0.1860763714773303,0.4630268717966995,0.49016431774667896,ble
5.0,False,9,-1.3082558061553626,1.3082558061553626,0.1078602923139947,ble
7.0,False,10,-2.0527498200964844,2.0527498200964844,0.2839675142894158,ble
8.0,False,23,-4.814880684467505,4.814880684467505,0.24744345928424766,ble
0.5,True,82,1.1490319850545239,1.1724873559592432,0.744027854389847,ble
1.0,True,14,0.40764674762054287,0.40764674762054287,0.0928160549505454,ble
2.0,True,9,-0.09516246140779223,0.1575188203420027,0.15020236673499304,ble
3.0,True,10,-0.7357626499713639,0.7357626499713639,0.14380840391132707,ble
5.0,True,9,0.38771086616015527,0.5912133877880393,0.5325774819864355,ble
7.0,True,9,-2.4089925593351826,2.4089925593351826,0.6865512597344919,ble
8.0,True,78,-4.680075846550382,4.680075846550382,0.28911599695427376,ble
9.0,True,78,-4.63910025032341,4.63910025032341,1.7174390417168657,ble
