true_distance,lighting,n,bias_m,mae_m,std_m
0.3,nacht,30,0.0013102213541666778,0.0013102213541666778,0.0004505407075412243
0.5,nacht,30,-0.0011800130208333333,0.0011800130208333333,0.000309351852355928
1.0,nacht,30,-0.000390625,0.0020833333333333333,0.0024942204107409535
2.0,nacht,30,0.012369791666666666,0.012369791666666666,0.002822849399567552
3.0,nacht,30,0.0123046875,0.0123046875,0.002088413402649146
4.0,nacht,30,0.013671875,0.013671875,0.001953125
5.0,nacht,30,0.003125,0.0046875,0.005083130545818525
0.3,tag,60,0.004541015625000011,0.004541015625000011,0.0023742388124529394
0.5,tag,30,0.0056803385416666664,0.0056803385416666664,0.0009220057967622751
2.0,tag,30,-0.011653645833333334,0.011653645833333334,0.000794697631232663
3.0,tag,30,0.028971354166666668,0.028971354166666668,0.0015198720742094728
4.0,tag,30,-0.004557291666666667,0.004557291666666667,0.0011646187382811405
5.0,tag,30,0.004166666666666667,0.004427083333333333,0.004388619673529354
17.0,tag,30,0.5473958333333333,0.5473958333333333,0.05769037401050736
